Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name :(cid:9)LAXMI METAL SYNDICATE LLP Address (cid:9)(cid:9) :(cid:9) 01 OPP DASALADWADI,,,,,,,57,226.16 Account Statement from 1 Nov 2022 to 30 Nov 2022 Txn Date Value Description Ref No./Cheque Debit Credit Balance Date No. 1 Nov 2022 1 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 37,47,705.00 -7,62,9,521.16 NO: FROM HDFCR52022110156882756- 3199860044304 / MEWELECTRICALSLTD MEWELECTRICA LSLTD 2 Nov 2022 2 Nov 2022 CHQ TRANSFER-RTGS UTR 97272 LAXMI 36,0,047.20 -7,98,9,568.36 NO: METAL SBINR52022110212749807- SYNDICATE 97272 LAXMI METAL SYNDICATE 5 Nov 2022 5 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 4,2,437.00 -7,94,7,131.36 NO: FROM HDFCR52022110558037329- 3199856044300 / RAJFILTERSANDWIREMESH RAJFILTERSAND PVTLTD WIREMESHPVTL TD 7 Nov 2022 7 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -7,44,7,131.36 NO: FROM FDRLR52022110733387286- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 7 Nov 2022 7 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 46,16,283.00 -6,97,90,848.36 NO: FROM FDRLR52022110733387289- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 7 Nov 2022 7 Nov 2022 CHQ TRANSFER-RTGS UTR 97273 LAXMI 1,0,0,047.2 -7,97,90,895.56 NO: METAL 0 SBINR52022110713684370- SYNDICATE 97273 LAXMI METAL SYNDICATE 9 Nov 2022 9 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 60,0,000.00 -7,37,90,895.56 NO: FROM UTIBR52022110900251539- 3199859044307 / LAXMI METAL SYNDICATE LAXMI METAL SYNDICATE,,,,,,,,,,,,,,,,,,,,,,,,,
Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Nov-22,1-Nov-22,BY TRANSFER-RTGS UTR NO: HDFCR52022110156882756- MEWELECTRICALSLTD,TRANSFER FROM 3199860044304 / MEWELECTRICA LSLTD,,3747705,-76209521.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Nov-22,2-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022110212749807- 97272 LAXMI METAL SYNDICATE,97272 LAXMI METAL SYNDICATE,3600047.2,,-79809568.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Nov-22,5-Nov-22,BY TRANSFER-RTGS UTR NO: HDFCR52022110558037329- RAJFILTERSANDWIREMESH PVTLTD,TRANSFER FROM 3199856044300 / RAJFILTERSAND WIREMESHPVTL TD,,402437,-79407131.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov-22,7-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022110733387286- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199859044307 / GLOBAL COPPER PRIVATE LIMITED,,5000000,-74407131.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov-22,7-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022110733387289- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199859044307 / GLOBAL COPPER PRIVATE LIMITED,,4616283,-69790848.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov-22,7-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022110713684370- 97273 LAXMI METAL SYNDICATE,97273 LAXMI METAL SYNDICATE,10000047.2 0,,-79790895.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov-22,9-Nov-22,BY TRANSFER-RTGS UTR NO: UTIBR52022110900251539- LAXMI METAL SYNDICATE,TRANSFER FROM 3199859044307 / LAXMI METAL SYNDICATE,,6000000,-73790895.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
